bandwidth(B),data_precision(bit),compute_pipeline,Array_i(height),Array_j(width)
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
,,,,
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
64,64,6,16,16
