m,k,n,dataflow,loops,dataflow_M,dataflow_K
8,5,6,ws,nkm,Batch_OY_OX,C_FH_FW
128,128,128,os,mnk,Batch_OY_OX,C_FH_FW
128,128,128,os,mnk,Batch_OY_OX,C_FH_FW
128,128,128,os,mnk,Batch_OY_OX,C_FH_FW
128,128,128,os,mnk,Batch_OY_OX,C_FH_FW
,,,,,,
8,25,9,os,mnk,Batch_OY_OX,C_FH_FW
8,25,8,os,mnk,Batch_OY_OX,C_FH_FW
8,25,5,os,mnk,Batch_OY_OX,C_FH_FW
8,18,8,os,mnk,Batch_OY_OX,C_FH_FW
8,18,5,os,mnk,Batch_OY_OX,C_FH_FW
8,18,5,os,mnk,Batch_OY_OX,C_FH_FW
8,18,5,os,mnk,Batch_OY_OX,C_FH_FW
8,13,8,os,mnk,Batch_OY_OX,C_FH_FW
8,13,8,os,mnk,Batch_OY_OX,C_FH_FW
8,13,8,os,mnk,Batch_OY_OX,C_FH_FW
8,13,7,os,mnk,Batch_OY_OX,C_FH_FW
8,18,8,os,mnk,Batch_OY_OX,C_FH_FW
8,18,8,os,mnk,Batch_OY_OX,C_FH_FW
8,18,6,os,mnk,Batch_OY_OX,C_FH_FW
8,18,7,os,mnk,Batch_OY_OX,C_FH_FW
8,16,8,os,mnk,Batch_OY_OX,C_FH_FW
8,16,8,os,mnk,Batch_OY_OX,C_FH_FW
8,16,8,os,mnk,Batch_OY_OX,C_FH_FW
8,16,8,os,mnk,Batch_OY_OX,C_FH_FW
8,18,8,os,mnk,Batch_OY_OX,C_FH_FW
8,18,8,os,mnk,Batch_OY_OX,C_FH_FW
8,18,8,os,mnk,Batch_OY_OX,C_FH_FW
8,18,6,os,mnk,Batch_OY_OX,C_FH_FW
8,14,6,os,mnk,Batch_OY_OX,C_FH_FW
8,14,6,os,mnk,Batch_OY_OX,C_FH_FW
8,14,6,os,mnk,Batch_OY_OX,C_FH_FW
8,14,6,os,mnk,Batch_OY_OX,C_FH_FW
8,18,8,os,mnk,Batch_OY_OX,C_FH_FW
8,18,8,os,mnk,Batch_OY_OX,C_FH_FW
8,18,8,os,mnk,Batch_OY_OX,C_FH_FW
8,18,6,os,mnk,Batch_OY_OX,C_FH_FW
8,12,8,os,mnk,Batch_OY_OX,C_FH_FW
8,12,8,os,mnk,Batch_OY_OX,C_FH_FW
8,12,8,os,mnk,Batch_OY_OX,C_FH_FW
8,12,6,os,mnk,Batch_OY_OX,C_FH_FW
8,8,8,os,mnk,Batch_OY_OX,C_FH_FW
8,8,8,os,mnk,Batch_OY_OX,C_FH_FW
8,8,8,os,mnk,Batch_OY_OX,C_FH_FW
8,8,6,os,mnk,Batch_OY_OX,C_FH_FW
8,5,8,os,mnk,Batch_OY_OX,C_FH_FW
8,5,8,os,mnk,Batch_OY_OX,C_FH_FW
8,5,8,os,mnk,Batch_OY_OX,C_FH_FW
8,5,6,os,mnk,Batch_OY_OX,C_FH_FW
8,18,8,os,mnk,Batch_OY_OX,C_FH_FW
8,18,6,os,mnk,Batch_OY_OX,C_FH_FW
8,18,6,os,mnk,Batch_OY_OX,C_FH_FW
8,18,6,os,mnk,Batch_OY_OX,C_FH_FW
8,9,8,os,mnk,Batch_OY_OX,C_FH_FW
8,9,6,os,mnk,Batch_OY_OX,C_FH_FW
8,9,6,os,mnk,Batch_OY_OX,C_FH_FW
8,9,6,os,mnk,Batch_OY_OX,C_FH_FW
8,8,8,os,mnk,Batch_OY_OX,C_FH_FW
8,8,6,os,mnk,Batch_OY_OX,C_FH_FW
8,8,6,os,mnk,Batch_OY_OX,C_FH_FW
8,8,6,os,mnk,Batch_OY_OX,C_FH_FW
8,5,8,os,mnk,Batch_OY_OX,C_FH_FW
8,5,6,os,mnk,Batch_OY_OX,C_FH_FW
8,5,6,os,mnk,Batch_OY_OX,C_FH_FW
8,5,6,os,mnk,Batch_OY_OX,C_FH_FW
