bandwidth(B),data_precision(bit),compute_pipeline,Array_i(height),Array_j(width),sram_size
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
64,8,1,32,32,262144
